
-------------------------------------------------------------------------------
   ROBOCOPY     ::     Robust File Copy for Windows                              
-------------------------------------------------------------------------------

  Started : September 5, 2026 9:41:09 PM
   Source : C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\
     Dest : X:\SKYRIM\STOCK GAME\

    Files : *.*
	    
  Options : *.* /TEE /S /E /DCOPY:DA /COPY:DAT /J /NP /MT:8 /R:2 /W:2 

------------------------------------------------------------------------------

	    New File  		  114053	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse062-ba_dwarvenmail.esl
	    New File  		  45.5 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse063-ba_ebony.bsa
	    New File  		  134877	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse063-ba_ebony.esl
	    New File  		  43.7 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse064-ba_elven.bsa
	    New File  		  111662	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse064-ba_elven.esl
	    New File  		  44.9 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse066-staves.bsa
	    New File  		  272311	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse066-staves.esl
	    New File  		 368.7 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse067-daedinv.bsa
	    New File  		   1.1 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse067-daedinv.esm
	    New File  		  11.0 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse068-bloodfall.bsa
	    New File  		   12087	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse068-bloodfall.esl
	    New File  		  40.8 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse069-contest.bsa
	    New File  		   17984	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse069-contest.esl
	    New File  		  65.0 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\cccbhsse001-gaunt.bsa
	    New File  		   28801	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\cccbhsse001-gaunt.esl
	    New File  		   9.2 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccedhsse001-norjewel.bsa
	    New File  		  196569	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccedhsse001-norjewel.esl
	    New File  		  84.9 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccedhsse002-splkntset.bsa
	    New File  		  160351	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccedhsse002-splkntset.esl
	    New File  		  82.2 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccedhsse003-redguard.bsa
	    New File  		  151347	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccedhsse003-redguard.esl
